o0.3142857253551483
0,0.9342105388641357,0.4190818965435028,1.0,0.18219567835330963
1,1.0,0.10168567299842834,1.0,0.0476309210062027
2,1.0,0.03329421207308769,1.0,0.020564135164022446
o1.0
o0.699999988079071
0,0.9802631735801697,0.27844277024269104,1.0,0.08659137040376663
1,1.0,0.05064539983868599,1.0,0.026671528816223145
2,1.0,0.020224679261446,1.0,0.013432218693196774
o1.0
o0.8857142925262451
0,0.9967105388641357,0.20855624973773956,1.0,0.05360438674688339
1,1.0,0.03246716782450676,1.0,0.018035607412457466
2,1.0,0.014270039275288582,1.0,0.00982220470905304
o1.0
o0.9428571462631226
0,0.9835526347160339,0.174841046333313,1.0,0.04044557735323906
1,1.0,0.02522488869726658,1.0,0.014757168479263783
2,1.0,0.011793086305260658,1.0,0.008412661962211132
o1.0
o0.9571428298950195
0,1.0,0.14401955902576447,1.0,0.030027886852622032
1,1.0,0.019205128774046898,1.0,0.011334366165101528






o0.8399999737739563


o0.9791666865348816
0,1.0,0.5458714365959167,0.9791666865348816,0.5214740633964539
o0.03846153989434242
0,0.125,0.7755411863327026,0.4038461446762085,0.7137899994850159
o0.4038461446762085
o0.03846153989434242
0,0.125,0.774837076663971,0.4038461446762085,0.7137705087661743
o0.4038461446762085
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o0.5799999833106995
0,0.875,0.6247501373291016,0.8999999761581421,0.6111507415771484
o0.8999999761581421
o0.5961538553237915
0,0.25,0.7312431931495667,0.5961538553237915,0.6875575184822083
o0.5961538553237915
o0.5961538553237915
o1.0
o0.3799999952316284
0,0.625,0.746336042881012,0.3799999952316284,0.7298920154571533
o0.3799999952316284
o0.3799999952316284
0,0.625,0.7463090419769287,0.3799999952316284,0.7298835515975952
o0.3799999952316284
o0.3799999952316284
0,0.625,0.7463504076004028,0.3799999952316284,0.7298869490623474
o1.0
0,1.0,0.46816515922546387,1.0,0.5159831643104553
o1.0
o1.0
o0.25
0,0.125,0.7558308243751526,0.25,0.7494049668312073
o0.25
o0.25
0,0.125,0.7558310627937317,0.25,0.7494035959243774
o0.25
o0.25
0,0.125,0.7558363080024719,0.25,0.7494039535522461
o0.25
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o0.6000000238418579
0,0.875,0.40672004222869873,0.6000000238418579,0.6288148164749146
o0.6000000238418579
o0.6000000238418579
0,0.875,0.4066060185432434,0.6000000238418579,0.628781795501709
o0.6000000238418579
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0






o0.30000001192092896
0,0.25,1.487025499343872,0.30000001192092896,1.7459417581558228
o0.30000001192092896
o0.30000001192092896
0,0.25,1.4868190288543701,0.30000001192092896,1.7458136081695557
o0.30000001192092896
o2.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0526316165924072,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
0,1.0,0.008039414882659912,1.0,0.03859259933233261
0,1.0,0.025971148163080215,1.0,0.01897708885371685
o1.0
o1.0
o1.0
o1.0
0,1.0,0.025863515213131905,1.0,0.018922701478004456
0,1.0,0.008010519668459892,1.0,0.03847648948431015
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.1111111640930176,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
o1.0
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
o1.0
o1.0
o1.0
0,1.0,nan,1.0,nan
0,1.0,nan,1.0,nan
o1.0
o1.0
